Flow ID, Flow Duration,Idle Mean, Label,clustering_results
192.168.50.6-224.0.0.252-60970-5355-17,419335,0.0,0,1.0
172.16.0.5-192.168.50.4-64077-64077-6,52199697,13049873.75,1,2.0
172.16.0.5-192.168.50.4-17073-17073-6,40581570,13527115.333333336,1,2.0
172.16.0.5-192.168.50.4-46626-46626-6,54653779,13663345.5,1,1.0
172.16.0.5-192.168.50.4-9023-9023-6,55966765,18080324.33333333,1,1.0
172.16.0.5-192.168.50.4-40037-40037-6,63932230,12786390.6,1,1.0
172.217.2.162-192.168.50.8-443-62256-6,26528,0.0,0,2.0
172.16.0.5-192.168.50.4-36226-36226-6,67740370,10943227.0,1,1.0
172.16.0.5-192.168.50.4-56663-56663-6,63562430,15890590.25,1,1.0
172.16.0.5-192.168.50.4-24975-24975-6,35000064,17500030.0,1,1.0
172.16.0.5-192.168.50.4-42507-42507-6,42541750,14180567.333333336,1,1.0
172.16.0.5-192.168.50.4-35346-35346-6,50311886,12577932.75,1,1.0
172.217.10.130-192.168.50.6-443-58434-6,583,0.0,0,2.0
172.16.0.5-192.168.50.4-8376-8376-6,66199660,16549880.75,1,2.0
192.168.50.6-4.2.2.4-55228-53-17,20706,0.0,0,1.0
172.16.0.5-192.168.50.4-20163-20163-6,63143377,15785754.0,1,2.0
172.217.10.2-192.168.50.6-80-58618-6,197,0.0,0,1.0
192.168.50.9-104.27.206.87-58168-443-6,14524,0.0,0,1.0
172.217.10.65-192.168.50.8-443-60848-6,1,0.0,0,1.0
192.168.50.6-74.208.236.171-56530-80-6,7179293,0.0,0,1.0
172.16.0.5-192.168.50.4-55455-55455-6,54929502,13732321.5,1,2.0
172.16.0.5-192.168.50.4-50410-49383-6,5109252,5109204.0,1,1.0
172.16.0.5-192.168.50.4-23663-23663-6,61897333,15474278.75,1,2.0
172.217.2.163-192.168.50.9-443-44414-6,429,0.0,0,1.0
172.16.0.5-192.168.50.4-22505-22505-6,44892685,10764295.0,1,2.0
172.217.10.226-192.168.50.8-80-60931-6,41122,0.0,0,1.0
172.16.0.5-192.168.50.4-18260-18260-6,32399142,10799679.0,1,2.0
172.16.0.5-192.168.50.4-53818-53818-6,46307640,11576858.25,1,2.0
172.16.0.5-192.168.50.4-632-121-6,42774301,21387100.5,1,1.0
172.16.0.5-192.168.50.4-26868-26868-6,44199218,10889964.0,1,1.0
172.217.10.10-192.168.50.6-443-56687-6,870,0.0,0,2.0
192.168.50.9-209.67.69.200-42852-443-6,1,0.0,0,2.0
172.217.6.230-192.168.50.8-443-61330-6,0,0.0,0,2.0
172.16.0.5-192.168.50.4-28528-28528-6,37362681,12454174.333333336,1,1.0
172.16.0.5-192.168.50.4-61144-61144-6,53974027,12587834.75,1,1.0
172.16.0.5-192.168.50.4-12898-12898-6,63594858,10599081.0,1,1.0
172.217.9.225-192.168.50.6-443-57680-6,2,0.0,0,2.0
192.168.50.9-104.27.206.87-58148-443-6,62214,0.0,0,2.0
192.168.50.6-4.2.2.4-59419-53-17,22194,0.0,0,1.0
172.16.0.5-192.168.50.4-21647-21647-6,46569330,11642288.0,1,1.0
172.16.0.5-192.168.50.4-57195-57195-6,43969996,14656559.0,1,1.0
192.168.50.9-52.84.146.210-47066-80-6,119457716,10216556.363636363,0,2.0
192.168.50.6-4.2.2.4-58984-53-17,21205,0.0,0,1.0
192.168.50.9-52.85.89.125-45846-443-6,1,0.0,0,2.0
192.168.50.8-4.2.2.4-63971-53-17,22436,0.0,0,2.0
172.16.0.5-192.168.50.4-36950-36950-6,30313015,15156482.5,1,1.0
192.168.50.8-8.8.8.8-58453-53-17,44929,0.0,0,2.0
172.16.0.5-192.168.50.4-56569-56569-6,53090212,17696720.0,1,1.0
172.16.0.5-192.168.50.4-14494-14494-6,19299189,9649490.5,1,1.0
172.217.7.2-192.168.50.6-443-57095-6,183449,0.0,0,2.0
172.16.0.5-192.168.50.4-884-520-6,11421636,11421588.0,1,1.0
172.16.0.5-192.168.50.4-54451-22223-6,7266585,7266585.0,1,2.0
192.168.50.9-104.239.227.128-52156-443-6,5230537,5126911.0,0,2.0
172.16.0.5-192.168.50.4-65228-4812-6,63161459,15790280.5,1,2.0
172.16.0.5-192.168.50.4-37105-55909-6,7109974,7109972.0,1,1.0
172.16.0.5-192.168.50.4-14128-31773-6,5227107,5227106.0,1,1.0
172.16.0.5-192.168.50.4-62952-62952-6,43151282,14383692.333333336,1,2.0
172.16.0.5-192.168.50.4-63655-3239-6,65500904,13100133.6,1,2.0
172.16.0.5-192.168.50.4-53971-53971-6,65088604,13017658.2,1,1.0
172.16.0.5-192.168.50.4-36923-36923-6,14496778,14496673.0,1,2.0
172.16.0.5-192.168.50.4-58295-58295-6,67005125,13400972.0,1,1.0
192.168.50.6-8.8.8.8-64018-53-17,47284,0.0,0,2.0
172.16.0.5-192.168.50.4-30590-30590-6,50880085,16959993.666666668,1,1.0
192.168.50.8-52.85.90.206-61500-443-6,309,0.0,0,1.0
172.16.0.5-192.168.50.4-54911-54911-6,40679454,13518895.0,1,2.0
172.16.0.5-192.168.50.4-20724-20724-6,57830929,11457649.6,1,2.0
172.16.0.5-192.168.50.4-727-216-6,20110968,10055341.5,1,1.0
172.16.0.5-192.168.50.4-47465-47465-6,50000326,12500007.5,1,2.0
172.16.0.5-192.168.50.4-11920-11920-6,57876920,19292236.0,1,2.0
172.16.0.5-192.168.50.4-11151-11151-6,61711737,12233365.2,1,2.0
192.168.50.6-204.154.111.106-57460-443-6,25615,0.0,0,1.0
172.217.9.225-192.168.50.6-443-56720-6,1,0.0,0,1.0
172.217.9.227-192.168.50.6-443-56431-6,117315062,58471465.5,0,2.0
192.168.50.6-4.2.2.4-53022-53-17,20877,0.0,0,2.0
172.16.0.5-192.168.50.4-7764-7764-6,44295381,14765110.333333336,1,1.0
172.16.0.5-192.168.50.4-23706-23706-6,59911221,14977768.5,1,1.0
172.16.0.5-192.168.50.4-43155-43155-6,43023345,10755785.25,1,1.0
172.16.0.5-192.168.50.4-18808-18808-6,32387463,10795754.333333334,1,1.0
172.16.0.5-192.168.50.4-17673-17673-6,42137424,14045806.666666664,1,2.0
172.16.0.5-192.168.50.4-63703-63703-6,72096261,11423666.333333332,1,1.0
172.16.0.5-192.168.50.4-50498-50498-6,55552852,13888200.5,1,1.0
172.16.0.5-192.168.50.4-24813-24813-6,33154063,16576930.0,1,2.0
192.168.50.8-35.165.113.217-61482-443-6,60862286,10006374.833333332,0,1.0
192.168.50.8-4.2.2.4-49749-53-17,20809,0.0,0,1.0
172.16.0.5-192.168.50.4-64619-64619-6,66129835,12811837.8,1,2.0
172.217.2.169-192.168.50.9-443-60830-6,26572,0.0,0,1.0
172.16.0.5-192.168.50.4-27361-27361-6,41199155,13733033.0,1,2.0
172.217.11.6-192.168.50.6-443-57320-6,1,0.0,0,1.0
192.168.50.8-74.208.236.171-61970-80-6,55173,0.0,0,2.0
172.16.0.5-192.168.50.4-31213-31213-6,66584765,12429502.4,1,1.0
172.16.0.5-192.168.50.4-50587-50587-6,55450247,18483359.666666668,1,1.0
192.168.50.6-104.108.118.242-57259-443-6,1,0.0,0,2.0
172.217.9.230-192.168.50.6-443-56343-6,1,0.0,0,2.0
192.168.50.8-8.8.8.8-55997-53-17,54812,0.0,0,2.0
172.217.2.162-192.168.50.9-443-60442-6,117199307,58433858.0,0,1.0
172.16.0.5-192.168.50.4-9188-9188-6,48159367,9631837.2,1,2.0
172.217.12.162-192.168.50.6-443-57407-6,162,0.0,0,2.0
192.168.50.8-4.2.2.4-64622-53-17,21407,0.0,0,2.0
172.16.0.5-192.168.50.4-58745-58745-6,54733387,10946612.2,1,1.0
172.16.0.5-192.168.50.4-52223-52223-6,27541616,13770757.0,1,2.0
192.168.50.8-74.208.236.171-61742-80-6,273,0.0,0,2.0
172.16.0.5-192.168.50.4-33960-33960-6,71027546,11837857.333333336,1,1.0
172.16.0.5-192.168.50.4-43792-43792-6,53345274,13336251.0,1,1.0
172.16.0.5-192.168.50.4-43335-43335-6,53494669,12371322.75,1,1.0
172.16.0.5-192.168.50.4-21202-21202-6,45191079,22595538.0,1,1.0
172.16.0.5-192.168.50.4-64128-3712-6,35518744,17759371.0,1,1.0
192.168.50.9-104.27.205.87-39756-443-6,2,0.0,0,2.0
172.16.0.5-192.168.50.4-41622-41622-6,38010947,19005421.0,1,1.0
172.217.2.174-192.168.50.9-443-52030-6,56,0.0,0,1.0
172.16.0.5-192.168.50.4-49101-49101-6,50081839,8346890.5,1,2.0
192.168.50.6-4.2.2.4-53163-53-17,20950,0.0,0,1.0
172.16.0.5-192.168.50.4-37119-37119-6,40813328,10203263.0,1,2.0
172.217.12.170-192.168.50.6-443-56304-6,4,0.0,0,1.0
172.16.0.5-192.168.50.4-918-407-6,49795618,15667244.0,1,2.0
172.16.0.5-192.168.50.4-41555-41555-6,28958842,9516302.0,1,1.0
172.16.0.5-192.168.50.4-6956-6956-6,53218064,17739243.333333332,1,2.0
192.168.50.9-212.45.96.161-49228-443-6,1,0.0,0,1.0
172.16.0.5-192.168.50.4-60732-60732-6,65498215,16374541.0,1,2.0
192.168.50.8-4.2.2.4-55496-53-17,21232,0.0,0,2.0
172.16.0.5-192.168.50.4-32732-32732-6,60634207,15158472.0,1,1.0
192.168.50.8-204.154.111.120-61862-443-6,0,0.0,0,2.0
192.168.50.6-74.208.236.171-58588-80-6,7284407,0.0,0,2.0
172.16.0.5-192.168.50.4-6346-6346-6,62801318,20933701.666666668,1,1.0
172.16.0.5-192.168.50.4-20817-20817-6,63715452,12743069.2,1,2.0
172.16.0.5-192.168.50.4-57163-57163-6,39503710,13167902.333333336,1,2.0
172.16.0.5-192.168.50.4-35742-35742-6,50187701,16729193.0,1,2.0
130.211.15.187-192.168.50.9-443-45824-6,2,0.0,0,1.0
172.16.0.5-192.168.50.4-12001-12001-6,56650447,18883464.666666668,1,2.0
172.16.0.5-192.168.50.4-35762-35762-6,35250810,11666296.666666664,1,1.0
192.168.50.8-4.2.2.4-60250-53-17,20663,0.0,0,2.0
172.217.10.130-192.168.50.8-443-60985-6,1,0.0,0,2.0
192.168.50.8-4.2.2.4-51791-53-17,20651,0.0,0,2.0
192.168.50.6-72.21.91.29-58517-80-6,178,0.0,0,2.0
172.16.0.5-192.168.50.4-11822-11822-6,58578880,19526291.666666668,1,2.0
172.16.0.5-192.168.50.4-54807-54807-6,48903728,24451840.5,1,2.0
172.16.0.5-192.168.50.4-31247-31247-6,60148787,15037147.75,1,2.0
192.168.50.9-72.21.91.29-53416-80-6,64,0.0,0,1.0
172.16.0.5-192.168.50.4-19039-19039-6,25684143,25684141.0,1,1.0
172.217.2.161-192.168.50.8-443-61430-6,1,0.0,0,1.0
172.16.0.5-192.168.50.4-61971-1555-6,42273518,10568292.0,1,2.0
172.16.0.5-192.168.50.4-55017-55017-6,57014711,19004866.0,1,2.0
192.168.50.8-74.208.236.171-61666-80-6,56355,0.0,0,1.0
172.217.12.168-192.168.50.9-443-47622-6,673,0.0,0,1.0
192.168.50.6-4.2.2.4-59945-53-17,20797,0.0,0,2.0
172.16.0.5-192.168.50.4-54562-54562-6,42061948,10515447.5,1,1.0
172.16.0.5-192.168.50.4-21873-21873-6,56023996,18674598.0,1,1.0
172.217.10.226-192.168.50.6-443-56250-6,1,0.0,0,2.0
172.16.0.5-192.168.50.4-18220-18220-6,53614240,13403546.0,1,1.0
172.217.10.130-192.168.50.8-443-61559-6,1,0.0,0,1.0
192.168.50.9-23.211.100.178-57974-443-6,0,0.0,0,1.0
172.16.0.5-192.168.50.4-53333-53333-6,61484649,15371124.5,1,2.0
192.168.50.9-38.134.110.118-51580-443-6,198,0.0,0,1.0
172.16.0.5-192.168.50.4-41722-41722-6,36026145,16451431.0,1,2.0
192.168.50.6-104.36.115.113-57691-443-6,132687,0.0,0,2.0
172.16.0.5-192.168.50.4-50448-50448-6,71917758,11855786.333333332,1,1.0
192.168.50.6-8.8.8.8-63515-53-17,53935,0.0,0,2.0
172.217.12.162-192.168.50.6-443-58272-6,1259,0.0,0,2.0
192.168.50.6-23.211.100.18-57956-443-6,1,0.0,0,2.0
172.217.11.34-192.168.50.8-443-60977-6,1,0.0,0,2.0
172.16.0.5-192.168.50.4-23404-23404-6,57161712,14290388.0,1,1.0
172.16.0.5-192.168.50.4-56504-56504-6,48797024,11887748.75,1,1.0
172.16.0.5-192.168.50.4-63909-63909-6,76915205,15383020.2,1,1.0
172.16.0.5-192.168.50.4-52061-52061-6,46074371,15358084.666666664,1,1.0
192.168.50.9-52.84.141.127-48100-443-6,98073,0.0,0,1.0
172.16.0.5-192.168.50.4-5365-5365-6,41058571,13392119.333333336,1,1.0
172.217.10.2-192.168.50.6-443-56293-6,1,0.0,0,1.0
172.217.11.10-192.168.50.8-443-62346-6,117297606,58262248.5,0,2.0
172.16.0.5-192.168.50.4-6426-6426-6,47141337,23570570.0,1,1.0
172.217.6.238-192.168.50.6-80-58181-6,115581918,10006830.363636363,0,2.0
172.16.0.5-192.168.50.4-51112-51112-6,63418058,15854450.25,1,1.0
172.16.0.5-192.168.50.4-26810-26810-6,70072784,14014513.4,1,1.0
172.16.0.5-192.168.50.4-62299-1883-6,55694278,11138769.8,1,1.0
172.16.0.5-192.168.50.4-12471-12471-6,28989359,14494624.5,1,1.0
172.16.0.5-192.168.50.4-46532-46532-6,30029663,15014831.0,1,1.0
192.168.50.6-4.2.2.4-57184-53-17,20733,0.0,0,2.0
192.168.50.6-52.41.162.220-56738-443-6,60438732,9931003.666666668,0,1.0
192.168.50.6-74.208.236.171-57175-80-6,7139551,0.0,0,2.0
192.168.50.6-4.2.2.4-50682-53-17,21169,0.0,0,2.0
172.16.0.5-192.168.50.4-44222-44222-6,34999936,11666520.666666664,1,1.0
172.16.0.5-192.168.50.4-63356-2940-6,67004988,13400956.2,1,1.0
172.16.0.5-192.168.50.4-58448-58448-6,51683315,10336598.8,1,1.0
172.217.6.238-192.168.50.6-80-56425-6,211,0.0,0,2.0
192.168.50.6-4.2.2.4-63921-53-17,20921,0.0,0,2.0
172.16.0.5-192.168.50.4-43567-43567-6,34204554,11401417.333333336,1,1.0
172.16.0.5-192.168.50.4-10944-10944-6,38540517,9590304.25,1,1.0
192.168.50.9-52.9.59.59-44788-443-6,25960414,10085727.5,0,1.0
172.16.0.5-192.168.50.4-42954-42954-6,39598951,13199612.333333336,1,1.0
173.241.242.220-192.168.50.9-443-36126-6,1108,0.0,0,2.0
172.16.0.5-192.168.50.4-29759-29759-6,36791193,12263692.0,1,1.0
172.16.0.5-192.168.50.4-53370-53370-6,56605218,14151251.25,1,1.0
172.16.0.5-192.168.50.4-22885-22885-6,52898831,13224681.25,1,1.0
192.168.50.9-123.51.209.204-48184-443-6,7060632,0.0,0,2.0
172.16.0.5-192.168.50.4-14272-14272-6,64461691,12892304.0,1,1.0
172.16.0.5-192.168.50.4-49614-49614-6,45652418,11413026.5,1,2.0
192.168.50.8-8.8.8.8-50950-53-17,44696,0.0,0,1.0
192.168.50.6-4.2.2.4-60427-53-17,20881,0.0,0,1.0
172.16.0.5-192.168.50.4-55135-55135-6,53452251,12120254.5,1,2.0
172.217.10.2-192.168.50.6-443-57689-6,999,0.0,0,1.0
192.168.50.6-204.154.111.130-57632-443-6,21181,0.0,0,1.0
172.16.0.5-192.168.50.4-52562-52562-6,64000360,12800030.0,1,2.0
172.16.0.5-192.168.50.4-33076-33076-6,58170875,14542717.25,1,2.0
162.248.19.151-192.168.50.8-443-60918-6,2,0.0,0,1.0
192.168.50.9-31.13.71.7-55182-443-6,27912,0.0,0,1.0
172.16.0.5-192.168.50.4-10292-10292-6,29167319,14583535.0,1,2.0
172.16.0.5-192.168.50.4-27272-27272-6,39736503,13245500.0,1,2.0
192.168.50.6-4.2.2.4-52898-53-17,20970,0.0,0,1.0
172.16.0.5-192.168.50.4-52639-52639-6,53311741,17770545.666666668,1,2.0
192.168.50.6-4.2.2.4-51485-53-17,21508,0.0,0,1.0
172.217.6.238-192.168.50.6-80-56550-6,40689,0.0,0,2.0
172.16.0.5-192.168.50.4-12961-12961-6,58572558,11714443.8,1,1.0
172.16.0.5-192.168.50.4-21393-21393-6,65652741,10942062.166666666,1,1.0
172.217.6.226-192.168.50.8-80-61060-6,115218081,9987959.090909092,0,1.0
172.16.0.5-192.168.50.4-7998-7998-6,59938634,9989708.333333332,1,1.0
172.16.0.5-192.168.50.4-33610-33610-6,59994972,14998708.25,1,1.0
172.16.0.5-192.168.50.4-40214-40214-6,34885440,11628423.0,1,1.0
172.16.0.5-192.168.50.4-60973-60973-6,52275437,26137717.5,1,1.0
172.16.0.5-192.168.50.4-45269-45269-6,54827123,18275658.666666668,1,1.0
192.168.50.6-74.208.236.171-57511-80-6,55841,0.0,0,2.0
192.168.50.6-4.2.2.4-55107-53-17,20670,0.0,0,1.0
172.16.0.5-192.168.50.4-14032-14032-6,54482343,10896401.4,1,2.0
192.168.50.6-74.208.236.171-56802-80-6,55064,0.0,0,1.0
172.16.0.5-192.168.50.4-57739-57739-6,63540987,15885204.5,1,2.0
192.168.50.6-74.208.236.171-58122-80-6,54954,0.0,0,1.0
172.16.0.5-192.168.50.4-63271-2855-6,56344113,10893428.6,1,1.0
172.16.0.5-192.168.50.4-64090-64090-6,35016883,17508417.5,1,1.0
172.16.0.5-192.168.50.4-32397-32397-6,60372216,15092979.5,1,1.0
172.217.10.2-192.168.50.9-443-43188-6,239889,0.0,0,2.0
192.168.50.6-74.208.236.171-56749-80-6,141,0.0,0,2.0
172.16.0.5-192.168.50.4-55572-55572-6,35982309,11994086.666666664,1,2.0
172.16.0.5-192.168.50.4-26867-26867-6,60222719,11315120.4,1,2.0
192.168.10.50-192.168.50.6-22-56357-6,8996495,6000371.0,0,1.0
192.168.50.8-4.2.2.4-52761-53-17,20683,0.0,0,1.0
172.16.0.5-192.168.50.4-55323-55323-6,24285158,12142478.5,1,1.0
172.16.0.5-192.168.50.4-46054-46054-6,50988440,9656535.6,1,2.0
172.16.0.5-192.168.50.4-17636-17636-6,27981536,13990693.0,1,2.0
172.16.0.5-192.168.50.4-22024-22024-6,32144784,16072352.0,1,2.0
192.168.50.9-104.27.33.64-48378-443-6,2,0.0,0,1.0
172.16.0.5-192.168.50.4-47494-47494-6,50185821,12546387.5,1,2.0
172.16.0.5-192.168.50.4-22807-22807-6,34090440,17045168.0,1,2.0
172.16.0.5-192.168.50.4-5152-5152-6,57881767,14338168.5,1,2.0
172.16.0.5-192.168.50.4-59418-59418-6,62803843,15700934.5,1,2.0
192.168.50.6-54.201.6.28-56315-443-6,90519,0.0,0,1.0
172.16.0.5-192.168.50.4-33985-33985-6,29124129,14562039.5,1,2.0
192.168.50.6-74.208.236.171-56092-80-6,55153,0.0,0,1.0
172.16.0.5-192.168.50.4-24068-24068-6,36942202,18471039.0,1,1.0
192.168.50.8-4.2.2.4-62539-53-17,21353,0.0,0,1.0
172.217.12.130-192.168.50.6-443-56659-6,117613430,58668690.5,0,2.0
172.16.0.5-192.168.50.4-43068-43068-6,58400241,14600009.5,1,1.0
192.168.50.8-4.2.2.4-49289-53-17,22958,0.0,0,2.0
172.16.0.5-192.168.50.4-23315-23315-6,53508809,13377172.75,1,1.0
172.16.0.5-192.168.50.4-43774-43774-6,49034394,9206818.2,1,1.0
192.168.50.8-8.8.8.8-57972-53-17,46438,0.0,0,2.0
192.168.50.9-72.167.239.239-43300-80-6,67839,0.0,0,2.0
192.168.50.6-4.2.2.4-51787-53-17,22801,0.0,0,2.0
172.16.0.5-192.168.50.4-30369-30369-6,71507639,14301513.2,1,1.0
172.16.0.5-192.168.50.4-47272-47272-6,34096968,17048402.5,1,2.0
172.16.0.5-192.168.50.4-45853-45853-6,14410792,14410744.0,1,2.0
172.16.0.5-192.168.50.4-43264-43264-6,29534554,14767237.5,1,2.0
192.168.50.9-98.138.49.44-39352-443-6,15560686,7615908.5,0,1.0
192.168.50.8-4.2.2.4-50528-53-17,20944,0.0,0,1.0
172.217.3.106-192.168.50.6-443-57163-6,118034917,58776018.5,0,2.0
192.168.50.6-4.2.2.4-57234-53-17,20937,0.0,0,1.0
172.16.0.5-192.168.50.4-40738-40738-6,45241855,11310410.5,1,1.0
192.168.50.9-52.72.190.60-59860-443-6,116874760,58222769.0,0,1.0
192.168.50.6-4.2.2.4-59774-53-17,20964,0.0,0,2.0
172.16.0.5-192.168.50.4-11432-11432-6,67231648,11126352.166666666,1,1.0
172.16.0.5-192.168.50.4-47853-47853-6,57581457,14395338.5,1,1.0
192.168.50.8-4.2.2.4-58329-53-17,21826,0.0,0,2.0
185.54.150.17-192.168.50.9-443-43680-6,155,0.0,0,1.0
172.217.2.163-192.168.50.9-443-44572-6,4,0.0,0,1.0
172.217.9.227-192.168.50.8-443-60957-6,3,0.0,0,1.0
172.217.10.98-192.168.50.6-443-57997-6,4,0.0,0,1.0
192.168.50.8-8.8.8.8-50407-53-17,46222,0.0,0,2.0
192.168.50.6-104.19.198.151-57719-443-6,3,0.0,0,1.0
172.16.0.5-192.168.50.4-44406-44406-6,32793459,10931086.666666666,1,1.0
192.168.50.6-8.8.8.8-56915-53-17,44953,0.0,0,1.0
172.217.1.2-192.168.50.8-443-62413-6,0,0.0,0,1.0
192.168.50.6-52.85.90.206-56456-443-6,78863084,39338138.0,0,2.0
172.16.0.5-192.168.50.4-9334-9334-6,52724437,13181067.25,1,1.0
172.16.0.5-192.168.50.4-6707-6707-6,53575086,17858306.333333332,1,1.0
192.168.50.9-52.84.146.210-47544-80-6,116379242,10186170.272727272,0,2.0
192.168.50.8-4.2.2.4-61538-53-17,22338,0.0,0,1.0
172.16.0.5-192.168.50.4-32311-32311-6,48872588,12218092.0,1,1.0
192.168.50.253-224.0.0.5-0-0-0,57479609,9084916.833333334,0,1.0
192.168.50.6-4.2.2.4-65506-53-17,21740,0.0,0,2.0
172.16.0.5-192.168.50.4-21850-21850-6,63215014,10535773.0,1,1.0
192.168.50.8-34.226.115.14-60955-443-6,62887,0.0,0,2.0
172.16.0.5-192.168.50.4-48598-48598-6,53271407,17757119.0,1,1.0
172.16.0.5-192.168.50.4-58473-58473-6,69331189,11555169.833333332,1,2.0
192.168.50.8-72.21.91.29-61478-80-6,215,0.0,0,1.0
172.16.0.5-192.168.50.4-51657-51657-6,46005462,15335122.0,1,2.0
172.217.6.230-192.168.50.8-443-60963-6,1,0.0,0,1.0
172.16.0.5-192.168.50.4-50109-50109-6,63586324,15896499.5,1,2.0
172.217.12.202-192.168.50.8-443-61288-6,1024,0.0,0,2.0
192.168.50.9-23.211.101.56-59294-443-6,1,0.0,0,2.0
172.16.0.5-192.168.50.4-11117-11117-6,63004833,12073660.8,1,1.0
192.168.50.6-4.2.2.4-53604-53-17,20770,0.0,0,2.0
172.16.0.5-192.168.50.4-12555-12555-6,57895033,14473718.0,1,1.0
192.168.50.9-104.88.65.54-54190-443-6,3,0.0,0,2.0
172.16.0.5-192.168.50.4-52030-52030-6,39224437,9806032.0,1,1.0
172.16.0.5-192.168.50.4-61103-61103-6,57994883,14498678.75,1,1.0
172.217.10.66-192.168.50.6-443-58333-6,1,0.0,0,2.0
172.217.2.161-192.168.50.8-443-61071-6,1,0.0,0,2.0
172.16.0.5-192.168.50.4-64076-3660-6,50774316,12693577.75,1,2.0
172.217.9.234-192.168.50.9-443-41222-6,3,0.0,0,1.0
172.16.0.5-192.168.50.4-39797-39797-6,71024472,17756091.25,1,2.0
172.217.6.226-192.168.50.6-443-58013-6,80885580,36438817.5,0,2.0
192.168.50.9-52.84.135.16-48200-443-6,4,0.0,0,1.0
172.16.0.5-192.168.50.4-63688-3272-6,44775136,11119781.75,1,2.0
172.217.10.2-192.168.50.6-443-56939-6,2,0.0,0,1.0
172.16.0.5-192.168.50.4-23122-23122-6,58232570,14558129.5,1,2.0
172.16.0.5-192.168.50.4-54947-54947-6,27701080,13850538.5,1,2.0
172.16.0.5-192.168.50.4-21298-21298-6,39842041,13280618.0,1,2.0
172.16.0.5-192.168.50.4-11626-11626-6,32979117,10993004.333333334,1,2.0
192.168.50.8-4.2.2.4-63355-53-17,20937,0.0,0,1.0
192.168.50.6-8.8.8.8-60463-53-17,79160,0.0,0,1.0
172.217.7.2-192.168.50.9-443-50448-6,83,0.0,0,1.0
192.168.10.50-192.168.50.9-21-43264-6,63991033,18942624.33333333,0,2.0
172.16.0.5-192.168.50.4-40622-40622-6,55858922,13284007.75,1,2.0
192.168.50.6-4.2.2.4-65242-53-17,42346,0.0,0,1.0
192.168.50.6-8.8.8.8-50837-53-17,54999,0.0,0,1.0
192.168.50.6-224.0.0.252-65072-5355-17,418208,0.0,0,1.0
172.217.12.193-192.168.50.9-443-58996-6,1,0.0,0,1.0
192.168.50.8-8.8.8.8-52026-53-17,46596,0.0,0,1.0
172.16.0.5-192.168.50.4-50109-50109-6,13388484,13388381.0,1,1.0
184.25.203.78-192.168.50.9-443-50364-6,115391859,10189318.81818182,0,2.0
